50_50/outcome/id,50_50/outcome/name,ball_receipt/outcome/id,ball_receipt/outcome/name,ball_recovery/recovery_failure,block/deflection,block/offensive,block/save_block,carry/end_location/0,carry/end_location/1,counterpress,dribble/nutmeg,dribble/outcome/id,dribble/outcome/name,dribble/overrun,duel/outcome/id,duel/outcome/name,duel/type/id,duel/type/name,duration,foul_committed/advantage,foul_committed/card/id,foul_committed/card/name,foul_committed/offensive,foul_committed/type/id,foul_committed/type/name,foul_won/advantage,foul_won/defensive,goalkeeper/body_part/id,goalkeeper/body_part/name,goalkeeper/end_location/0,goalkeeper/end_location/1,goalkeeper/outcome/id,goalkeeper/outcome/name,goalkeeper/position/id,goalkeeper/position/name,goalkeeper/technique/id,goalkeeper/technique/name,goalkeeper/type/id,goalkeeper/type/name,id,index,injury_stoppage/in_chain,interception/outcome/id,interception/outcome/name,location/0,location/1,minute,pass/aerial_won,pass/angle,pass/assisted_shot_id,pass/backheel,pass/body_part/id,pass/body_part/name,pass/cross,pass/cut_back,pass/deflected,pass/end_location/0,pass/end_location/1,pass/goal_assist,pass/height/id,pass/height/name,pass/length,pass/outcome/id,pass/outcome/name,pass/recipient/id,pass/recipient/name,pass/shot_assist,pass/switch,pass/technique/id,pass/technique/name,pass/through_ball,pass/type/id,pass/type/name,period,play_pattern/id,play_pattern/name,player/id,player/name,position/id,position/name,possession,possession_team/id,possession_team/name,related_events/0,related_events/1,related_events/2,related_events/3,related_events/4,second,shot/aerial_won,shot/body_part/id,shot/body_part/name,shot/end_location/0,shot/end_location/1,shot/end_location/2,shot/first_time,shot/freeze_frame/0/location/0,shot/freeze_frame/0/location/1,shot/freeze_frame/0/player/id,shot/freeze_frame/0/player/name,shot/freeze_frame/0/position/id,shot/freeze_frame/0/position/name,shot/freeze_frame/0/teammate,shot/freeze_frame/1/location/0,shot/freeze_frame/1/location/1,shot/freeze_frame/1/player/id,shot/freeze_frame/1/player/name,shot/freeze_frame/1/position/id,shot/freeze_frame/1/position/name,shot/freeze_frame/1/teammate,shot/freeze_frame/10/location/0,shot/freeze_frame/10/location/1,shot/freeze_frame/10/player/id,shot/freeze_frame/10/player/name,shot/freeze_frame/10/position/id,shot/freeze_frame/10/position/name,shot/freeze_frame/10/teammate,shot/freeze_frame/11/location/0,shot/freeze_frame/11/location/1,shot/freeze_frame/11/player/id,shot/freeze_frame/11/player/name,shot/freeze_frame/11/position/id,shot/freeze_frame/11/position/name,shot/freeze_frame/11/teammate,shot/freeze_frame/12/location/0,shot/freeze_frame/12/location/1,shot/freeze_frame/12/player/id,shot/freeze_frame/12/player/name,shot/freeze_frame/12/position/id,shot/freeze_frame/12/position/name,shot/freeze_frame/12/teammate,shot/freeze_frame/13/location/0,shot/freeze_frame/13/location/1,shot/freeze_frame/13/player/id,shot/freeze_frame/13/player/name,shot/freeze_frame/13/position/id,shot/freeze_frame/13/position/name,shot/freeze_frame/13/teammate,shot/freeze_frame/14/location/0,shot/freeze_frame/14/location/1,shot/freeze_frame/14/player/id,shot/freeze_frame/14/player/name,shot/freeze_frame/14/position/id,shot/freeze_frame/14/position/name,shot/freeze_frame/14/teammate,shot/freeze_frame/15/location/0,shot/freeze_frame/15/location/1,shot/freeze_frame/15/player/id,shot/freeze_frame/15/player/name,shot/freeze_frame/15/position/id,shot/freeze_frame/15/position/name,shot/freeze_frame/15/teammate,shot/freeze_frame/16/location/0,shot/freeze_frame/16/location/1,shot/freeze_frame/16/player/id,shot/freeze_frame/16/player/name,shot/freeze_frame/16/position/id,shot/freeze_frame/16/position/name,shot/freeze_frame/16/teammate,shot/freeze_frame/17/location/0,shot/freeze_frame/17/location/1,shot/freeze_frame/17/player/id,shot/freeze_frame/17/player/name,shot/freeze_frame/17/position/id,shot/freeze_frame/17/position/name,shot/freeze_frame/17/teammate,shot/freeze_frame/18/location/0,shot/freeze_frame/18/location/1,shot/freeze_frame/18/player/id,shot/freeze_frame/18/player/name,shot/freeze_frame/18/position/id,shot/freeze_frame/18/position/name,shot/freeze_frame/18/teammate,shot/freeze_frame/2/location/0,shot/freeze_frame/2/location/1,shot/freeze_frame/2/player/id,shot/freeze_frame/2/player/name,shot/freeze_frame/2/position/id,shot/freeze_frame/2/position/name,shot/freeze_frame/2/teammate,shot/freeze_frame/3/location/0,shot/freeze_frame/3/location/1,shot/freeze_frame/3/player/id,shot/freeze_frame/3/player/name,shot/freeze_frame/3/position/id,shot/freeze_frame/3/position/name,shot/freeze_frame/3/teammate,shot/freeze_frame/4/location/0,shot/freeze_frame/4/location/1,shot/freeze_frame/4/player/id,shot/freeze_frame/4/player/name,shot/freeze_frame/4/position/id,shot/freeze_frame/4/position/name,shot/freeze_frame/4/teammate,shot/freeze_frame/5/location/0,shot/freeze_frame/5/location/1,shot/freeze_frame/5/player/id,shot/freeze_frame/5/player/name,shot/freeze_frame/5/position/id,shot/freeze_frame/5/position/name,shot/freeze_frame/5/teammate,shot/freeze_frame/6/location/0,shot/freeze_frame/6/location/1,shot/freeze_frame/6/player/id,shot/freeze_frame/6/player/name,shot/freeze_frame/6/position/id,shot/freeze_frame/6/position/name,shot/freeze_frame/6/teammate,shot/freeze_frame/7/location/0,shot/freeze_frame/7/location/1,shot/freeze_frame/7/player/id,shot/freeze_frame/7/player/name,shot/freeze_frame/7/position/id,shot/freeze_frame/7/position/name,shot/freeze_frame/7/teammate,shot/freeze_frame/8/location/0,shot/freeze_frame/8/location/1,shot/freeze_frame/8/player/id,shot/freeze_frame/8/player/name,shot/freeze_frame/8/position/id,shot/freeze_frame/8/position/name,shot/freeze_frame/8/teammate,shot/freeze_frame/9/location/0,shot/freeze_frame/9/location/1,shot/freeze_frame/9/player/id,shot/freeze_frame/9/player/name,shot/freeze_frame/9/position/id,shot/freeze_frame/9/position/name,shot/freeze_frame/9/teammate,shot/key_pass_id,shot/one_on_one,shot/outcome/id,shot/outcome/name,shot/statsbomb_xg,shot/technique/id,shot/technique/name,shot/type/id,shot/type/name,substitution/outcome/id,substitution/outcome/name,substitution/replacement/id,substitution/replacement/name,tactics/formation,tactics/lineup/0/jersey_number,tactics/lineup/0/player/id,tactics/lineup/0/player/name,tactics/lineup/0/position/id,tactics/lineup/0/position/name,tactics/lineup/1/jersey_number,tactics/lineup/1/player/id,tactics/lineup/1/player/name,tactics/lineup/1/position/id,tactics/lineup/1/position/name,tactics/lineup/10/jersey_number,tactics/lineup/10/player/id,tactics/lineup/10/player/name,tactics/lineup/10/position/id,tactics/lineup/10/position/name,tactics/lineup/2/jersey_number,tactics/lineup/2/player/id,tactics/lineup/2/player/name,tactics/lineup/2/position/id,tactics/lineup/2/position/name,tactics/lineup/3/jersey_number,tactics/lineup/3/player/id,tactics/lineup/3/player/name,tactics/lineup/3/position/id,tactics/lineup/3/position/name,tactics/lineup/4/jersey_number,tactics/lineup/4/player/id,tactics/lineup/4/player/name,tactics/lineup/4/position/id,tactics/lineup/4/position/name,tactics/lineup/5/jersey_number,tactics/lineup/5/player/id,tactics/lineup/5/player/name,tactics/lineup/5/position/id,tactics/lineup/5/position/name,tactics/lineup/6/jersey_number,tactics/lineup/6/player/id,tactics/lineup/6/player/name,tactics/lineup/6/position/id,tactics/lineup/6/position/name,tactics/lineup/7/jersey_number,tactics/lineup/7/player/id,tactics/lineup/7/player/name,tactics/lineup/7/position/id,tactics/lineup/7/position/name,tactics/lineup/8/jersey_number,tactics/lineup/8/player/id,tactics/lineup/8/player/name,tactics/lineup/8/position/id,tactics/lineup/8/position/name,tactics/lineup/9/jersey_number,tactics/lineup/9/player/id,tactics/lineup/9/player/name,tactics/lineup/9/position/id,tactics/lineup/9/position/name,team/id,team/name,timestamp,type/id,type/name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9c72911a-ffb6-47f6-8ced-752af277f8e7,908,,,,112.0,8.0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,From Throw In,4597,Fabian Delph,20,Left Attacking Midfield,44,768,England,5c844b3d-53b8-49bb-bb35-627a347ca69c,e3f16cc2-5b72-4e5b-958d-7e21a0e2862f,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768,England,00:20:38.359,42,Ball Receipt*,True
,,,,,,,,111.0,8.0,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,d8b97d40-8e2b-4b12-9609-4ed290194547,909,,,,112.0,8.0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,From Throw In,4597,Fabian Delph,20,Left Attacking Midfield,44,768,England,52eaf809-7683-41b9-8eaa-a24293960e46,9c72911a-ffb6-47f6-8ced-752af277f8e7,e3f16cc2-5b72-4e5b-958d-7e21a0e2862f,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768,England,00:20:38.359,43,Carry,True
,,,,,,,,,,,,,,,,,,,0.68,,,,,,,,,,,,,,,,,,,,,52eaf809-7683-41b9-8eaa-a24293960e46,910,,,,111.0,8.0,20,,-1.5707964,,,38,Left Foot,,,,111.0,1.0,,1,Ground Pass,7.0,76,Pass Offside,3594,Danny Rose,,,,,,,,1,4,From Throw In,4597,Fabian Delph,20,Left Attacking Midfield,44,768,England,acc63bfb-2294-4753-994c-e024e101aff7,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768,England,00:20:38.679,30,Pass,
,,9,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc63bfb-2294-4753-994c-e024e101aff7,911,,,,111.0,1.0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,From Throw In,3594,Danny Rose,16,Left Midfield,44,768,England,52eaf809-7683-41b9-8eaa-a24293960e46,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768,England,00:20:39.359,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,4.107,,,,,,,,,,,,,,,,,,,,,4bddef0d-0f55-4971-be77-b97e5beeab01,912,,,,8.0,71.0,21,,-0.41012734,,,38,Left Foot,,,,77.0,41.0,,3,High Pass,75.23962,9,Incomplete,3457,Michy Batshuayi Tunga,,,,,,62,Free Kick,1,3,From Free Kick,3509,Thibaut Courtois,1,Goalkeeper,45,782,Belgium,5da00cec-ec9b-4ced-a722-a507cee0e652,c78b9c0f-ff4f-4cd9-8be9-e7ce5d4503b2,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782,Belgium,00:21:06.160,30,Pass,
,,9,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c78b9c0f-ff4f-4cd9-8be9-e7ce5d4503b2,913,,,,77.0,41.0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,From Free Kick,3457,Michy Batshuayi Tunga,23,Center Forward,45,782,Belgium,4bddef0d-0f55-4971-be77-b97e5beeab01,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782,Belgium,00:21:10.267,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,1.253,,,,,,,,,,,,,,,,,,,,,5da00cec-ec9b-4ced-a722-a507cee0e652,914,,,,44.0,40.0,21,,-0.7853982,,,37,Head,,,,50.0,34.0,,2,Low Pass,8.485281,,,4597,Fabian Delph,,,,,,66,Recovery,1,1,Regular Play,3244,John Stones,4,Center Back,46,768,England,3cd0b68a-7772-48e5-9d4d-8a59a82c8fd3,4bddef0d-0f55-4971-be77-b97e5beeab01,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768,England,00:21:10.267,30,Pass,
,,,,,,,,,,True,,,,,,,,,0.879,,,,,,,,,,,,,,,,,,,,,4ca4f36b-c4f6-4622-82a0-abbd4781c52a,915,,,,69.0,45.0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,2954,Youri Tielemans,15,Left Center Midfield,46,768,England,10c27ac7-fbdd-4137-a788-79a487caa21d,3cd0b68a-7772-48e5-9d4d-8a59a82c8fd3,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782,Belgium,00:21:11.080,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3cd0b68a-7772-48e5-9d4d-8a59a82c8fd3,916,,,,50.0,34.0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,4597,Fabian Delph,20,Left Attacking Midfield,46,768,England,4ca4f36b-c4f6-4622-82a0-abbd4781c52a,5da00cec-ec9b-4ced-a722-a507cee0e652,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768,England,00:21:11.520,42,Ball Receipt*,True
,,,,,,,,48.0,31.0,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,10c27ac7-fbdd-4137-a788-79a487caa21d,917,,,,50.0,34.0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,4597,Fabian Delph,20,Left Attacking Midfield,46,768,England,3cd0b68a-7772-48e5-9d4d-8a59a82c8fd3,45c047d3-b580-4ade-ab39-6f438d70eb7f,4ca4f36b-c4f6-4622-82a0-abbd4781c52a,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768,England,00:21:11.520,43,Carry,True
,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,45c047d3-b580-4ade-ab39-6f438d70eb7f,918,,,,48.0,31.0,21,,-1.8063413,,,38,Left Foot,,,,42.0,6.0,,1,Ground Pass,25.70992,,,3594,Danny Rose,,,,,,,,1,1,Regular Play,4597,Fabian Delph,20,Left Attacking Midfield,46,768,England,38a42863-464d-4939-83f9-ec2d52fc8085,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768,England,00:21:13.720,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38a42863-464d-4939-83f9-ec2d52fc8085,919,,,,42.0,6.0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,3594,Danny Rose,16,Left Midfield,46,768,England,45c047d3-b580-4ade-ab39-6f438d70eb7f,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768,England,00:21:14.720,42,Ball Receipt*,
,,,,,,,,40.0,4.0,,,,,,,,,,1.199,,,,,,,,,,,,,,,,,,,,,04b99478-2162-4279-acae-c753a21c997f,920,,,,42.0,6.0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,3594,Danny Rose,16,Left Midfield,46,768,England,38a42863-464d-4939-83f9-ec2d52fc8085,76f6b44f-8eac-4285-932c-aede1b846a3b,e5aadfdc-7e50-4b55-9928-6201c81cad0c,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768,England,00:21:14.720,43,Carry,True
,,,,,,,,,,True,,,,,,,,,0.72,,,,,,,,,,,,,,,,,,,,,e5aadfdc-7e50-4b55-9928-6201c81cad0c,921,,,,68.0,77.0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,4831,Nacer Chadli,12,Right Midfield,46,768,England,04b99478-2162-4279-acae-c753a21c997f,76f6b44f-8eac-4285-932c-aede1b846a3b,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782,Belgium,00:21:15.200,17,Pressure,
,,,,,,,,,,,,,,,,,,,0.92,,,,,,,,,,,,,,,,,,,,,76f6b44f-8eac-4285-932c-aede1b846a3b,922,,,,40.0,4.0,21,,0.5404195,,,38,Left Foot,,,,55.0,13.0,,1,Ground Pass,17.492855,,,3318,Marcus Rashford,,,,,,,,1,1,Regular Play,3594,Danny Rose,16,Left Midfield,46,768,England,83fcec9b-db53-4dc0-8711-8cdb1d43c666,e5aadfdc-7e50-4b55-9928-6201c81cad0c,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768,England,00:21:15.919,30,Pass,True
,,,,,,,,,,,,,,,,,,,0.479,,,,,,,,,,,,,,,,,,,,,e49d1a60-7693-4bf7-bf07-4c6445a0051f,923,,,,61.0,69.0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,6331,Leander Dendoncker,3,Right Center Back,46,768,England,4fe10ba6-aa6d-4deb-b66f-dca970ce4650,83fcec9b-db53-4dc0-8711-8cdb1d43c666,cb4bea3c-a74a-4a98-ad19-b3c2306f331b,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782,Belgium,00:21:16.480,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83fcec9b-db53-4dc0-8711-8cdb1d43c666,924,,,,55.0,13.0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,3318,Marcus Rashford,24,Left Center Forward,46,768,England,76f6b44f-8eac-4285-932c-aede1b846a3b,e49d1a60-7693-4bf7-bf07-4c6445a0051f,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768,England,00:21:16.839,42,Ball Receipt*,True
,,,,,,,,55.0,13.0,,,,,,,,,,0.041,,,,,,,,,,,,,,,,,,,,,4fe10ba6-aa6d-4deb-b66f-dca970ce4650,925,,,,55.0,13.0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,3318,Marcus Rashford,24,Left Center Forward,46,768,England,83fcec9b-db53-4dc0-8711-8cdb1d43c666,cb4bea3c-a74a-4a98-ad19-b3c2306f331b,e49d1a60-7693-4bf7-bf07-4c6445a0051f,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768,England,00:21:16.839,43,Carry,True
,,,,,,,,,,,,,,,,,,,1.559,,,,,,,,,,,,,,,,,,,,,cb4bea3c-a74a-4a98-ad19-b3c2306f331b,926,,,,55.0,13.0,21,,-2.6779451,,,40,Right Foot,,,,37.0,4.0,,1,Ground Pass,20.12461,,,3594,Danny Rose,,,,,,,,1,1,Regular Play,3318,Marcus Rashford,24,Left Center Forward,46,768,England,66cd5dda-8c6e-437f-947c-0336249022bc,e49d1a60-7693-4bf7-bf07-4c6445a0051f,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768,England,00:21:16.880,30,Pass,True
,,,,,,,,,,,,,,,,,,,0.72,,,,,,,,,,,,,,,,,,,,,3712f177-422d-4442-bcc0-46e958ef5e3c,927,,,,78.0,73.0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,6330,Adnan Januzaj,21,Left Wing,46,768,England,66cd5dda-8c6e-437f-947c-0336249022bc,6ca5980c-b627-4f26-a6d3-84145922587a,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782,Belgium,00:21:18.360,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66cd5dda-8c6e-437f-947c-0336249022bc,928,,,,37.0,4.0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,3594,Danny Rose,16,Left Midfield,46,768,England,3712f177-422d-4442-bcc0-46e958ef5e3c,cb4bea3c-a74a-4a98-ad19-b3c2306f331b,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768,England,00:21:18.439,42,Ball Receipt*,True
,,,,,,,,36.0,2.0,,,,,,,,,,1.361,,,,,,,,,,,,,,,,,,,,,6ca5980c-b627-4f26-a6d3-84145922587a,929,,,,37.0,4.0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,3594,Danny Rose,16,Left Midfield,46,768,England,3712f177-422d-4442-bcc0-46e958ef5e3c,66cd5dda-8c6e-437f-947c-0336249022bc,e195050b-9ca9-41f7-9a6d-9af4c082c5bd,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768,England,00:21:18.439,43,Carry,True
