player_id,name,team,position,value,rds-played,tot-sel,avg-per-rd,rating,points-last-rd,primary-accent,Club,player_index,names_fantasy,names_stats
210475,U. Segura,D.C. United,MID,5.4,33,0.41%,2.88,$57K,2,95,DC,129.0,U. Segura-DC,U. Segura-DC
41703,S. Kljestan,Orlando City SC,MID,5.2,23,0.21%,2.87,$79K,6,66,ORL,217.0,S. Kljestan-ORL,S. Kljestan-ORL
181958,J. Cascante,Portland Timbers,DEF,6,22,0.19%,2.86,$96K,DNP,63,POR,399.0,J. Cascante-POR,J. Cascante-POR
151952,K. Manneh,FC Cincinnati,FWD,5.1,27,0.14%,2.85,$67K,DNP,77,CIN,103.0,K. Manneh-CIN,K. Manneh-CIN
245005,J. Nerwinski,Vancouver Whitecaps FC,DEF,4.2,26,0.34%,2.85,$57K,DNP,74,VAN,283.0,J. Nerwinski-VAN,J. Nerwinski-VAN
131371,S. Ibeagha,New York City FC,DEF,4.1,23,1.73%,2.83,$64K,1,65,NYC,573.0,S. Ibeagha-NYC,S. Ibeagha-NYC
43194,G. Mackay-Steven,New York City FC,MID,5.4,12,0.09%,2.83,$159K,DNP,34,NYC,263.0,G. Mackay-Steven-NYC,G. Mackay-Steven-NYC
60152,C. Pontius,LA Galaxy,MID,4.9,18,0.16%,2.83,$97K,DNP,51,LA,156.0,C. Pontius-LA,C. Pontius-LA
50105,R. Espinoza,Sporting Kansas City,MID,5.5,16,0.10%,2.81,$123K,DNP,45,SKC,320.0,R. Espinoza-SKC,R. Espinoza-SKC
202402,S. Abdul-Salaam,Seattle Sounders FC,DEF,4,18,0.64%,2.78,$80K,1,50,SEA,352.0,S. Abdul-Salaam-SEA,S. Abdul-Salaam-SEA
150276,J. Caicedo,New England Revolution,FWD,4.7,27,0.05%,2.78,$63K,1,75,NE,85.0,J. Caicedo-NE,J. Caicedo-NE
119575,R. Quioto,Houston Dynamo,FWD,6.8,18,0.10%,2.78,$136K,DNP,50,HOU,168.0,R. Quioto-HOU,R. Quioto-HOU
427168,G. Busio,Sporting Kansas City,MID,4.5,22,0.49%,2.77,$74K,2,61,SKC,137.0,G. Busio-SKC,G. Busio-SKC
211988,C. Durkin,D.C. United,MID,4.9,13,0.03%,2.77,$137K,DNP,36,DC,278.0,C. Durkin-DC,C. Durkin-DC
95284,D. Fagundez,New England Revolution,MID,5,25,0.10%,2.76,$73K,3,69,NE,158.0,D. Fagundez-NE,D. Fagundez-NE
201125,S. Santos,Philadelphia Union,FWD,5.6,17,0.10%,2.76,$120K,DNP,47,PHI,108.0,S. Santos-PHI,S. Santos-PHI
196762,F. Picault,Philadelphia Union,FWD,4.8,32,0.06%,2.75,$55K,2,88,PHI,102.0,F. Picault-PHI,F. Picault-PHI
105713,W. Zahibo,New England Revolution,MID,6.2,24,0.10%,2.75,$94K,4,66,NE,260.0,W. Zahibo-NE,W. Zahibo-NE
50067,B. Shea,Atlanta United FC,DEF,4.8,19,0.07%,2.74,$93K,DNP,52,ATL,394.0,B. Shea-ATL,B. Shea-ATL
110596,M. Ibarra,Minnesota United FC,MID,4.9,22,0.18%,2.73,$82K,DNP,60,MIN,235.0,M. Ibarra-MIN,M. Ibarra-MIN
163529,B. Sweat,New York City FC,DEF,5.3,18,0.42%,2.72,$109K,6,49,NYC,325.0,B. Sweat-NYC,B. Sweat-NYC
422981,L. Argudo,Columbus Crew SC,MID,5,21,0.09%,2.71,$88K,DNP,57,CLB,218.0,L. Argudo-CLB,L. Argudo-CLB
33823,R. Clark,Columbus Crew SC,MID,5,7,0.22%,2.71,$264K,DNP,19,CLB,608.0,R. Clark-CLB,R. Clark-CLB
221475,F. Herbers,Chicago Fire,MID,4.7,17,0.11%,2.71,$103K,5,46,CHI,134.0,F. Herbers-CHI,F. Herbers-CHI
117549,D. Ceren,Houston Dynamo,MID,4.9,13,0.05%,2.69,$140K,DNP,35,HOU,275.0,D. Ceren-HOU,D. Ceren-HOU
184610,A. Jackson-Hamel,Montreal Impact,FWD,5,16,0.12%,2.69,$117K,DNP,43,MTL,140.0,A. Jackson-Hamel-MTL,A. Jackson-Hamel-MTL
27678,S. Sutter,Vancouver Whitecaps FC,DEF,4,16,1.11%,2.69,$94K,DNP,43,VAN,281.0,S. Sutter-VAN,S. Sutter-VAN
242130,M. Farfan,Portland Timbers,DEF,4.5,3,0.04%,2.67,$563K,DNP,8,POR,435.0,M. Farfan-POR,M. Farfan-POR
113002,J. Hamilton,Columbus Crew SC,FWD,4,18,4.41%,2.67,$84K,1,48,CLB,110.0,J. Hamilton-CLB,J. Hamilton-CLB
90644,J. Kempin,Columbus Crew SC,GK,4.4,3,0.22%,2.67,$550K,DNP,8,CLB,685.0,J. Kempin-CLB,J. Kempin-CLB
244988,B. Bronico,Chicago Fire,MID,6,29,0.06%,2.66,$78K,6,77,CHI,213.0,B. Bronico-CHI,B. Bronico-CHI
202198,N. Besler,Real Salt Lake,MID,4.5,17,0.07%,2.65,$100K,DNP,45,RSL,222.0,N. Besler-RSL,N. Besler-RSL
210151,D. Wynne,Colorado Rapids,DEF,4.5,11,0.03%,2.64,$156K,DNP,29,COL,419.0,D. Wynne-COL,D. Wynne-COL
109326,Marcelo,Chicago Fire,DEF,4.1,16,0.13%,2.63,$98K,DNP,42,CHI,,Marcelo-CHI,
41556,B. Knighton,New England Revolution,GK,4.9,8,0.18%,2.63,$234K,DNP,21,NE,675.0,B. Knighton-NE,B. Knighton-NE
77756,D. Guzman,Columbus Crew SC,MID,4.4,21,0.15%,2.62,$80K,DNP,55,CLB,414.0,D. Guzman-CLB,D. Guzman-CLB
153264,A. Powell,FC Cincinnati,DEF,4.6,13,0.11%,2.62,$136K,DNP,34,CIN,615.0,A. Powell-CIN,A. Powell-CIN
60214,A. DeLaGarza,Houston Dynamo,DEF,4,23,1.12%,2.61,$67K,DNP,60,HOU,,A. DeLaGarza-HOU,
98925,A. Flores,Portland Timbers,MID,5.3,15,0.09%,2.6,$136K,DNP,39,POR,396.0,A. Flores-POR,A. Flores-POR
106519,L. Olum,Minnesota United FC,MID,4.8,10,0.23%,2.6,$185K,DNP,26,MIN,362.0,L. Olum-MIN,L. Olum-MIN
477838,J. Shaffelburg,Toronto FC,MID,4,10,0.65%,2.6,$154K,DNP,26,TOR,407.0,J. Shaffelburg-TOR,J. Shaffelburg-TOR
111536,K. Garcia,Houston Dynamo,DEF,4,12,0.73%,2.58,$130K,DNP,31,HOU,533.0,K. Garcia-HOU,K. Garcia-HOU
423568,A. Roldan,Seattle Sounders FC,MID,4.1,9,0.18%,2.56,$179K,DNP,23,SEA,374.0,A. Roldan-SEA,A. Roldan-SEA
151949,E. Zavaleta,Toronto FC,DEF,4.2,16,0.13%,2.56,$103K,DNP,41,TOR,603.0,E. Zavaleta-TOR,E. Zavaleta-TOR
164480,E. Miller,New York City FC,DEF,4,11,0.48%,2.55,$143K,DNP,28,NYC,584.0,E. Miller-NYC,E. Miller-NYC
86879,H. Novillo,Montreal Impact,FWD,6.3,11,0.01%,2.55,$225K,DNP,28,MTL,230.0,H. Novillo-MTL,H. Novillo-MTL
474169,S. Patiño,Orlando City SC,FWD,4.1,11,0.13%,2.55,$147K,DNP,28,ORL,175.0,S. Patiño-ORL,S. Patiño-ORL
151953,E. Hurtado,Sporting Kansas City,FWD,4.3,13,0.18%,2.54,$131K,1,33,SKC,191.0,E. Hurtado-SKC,E. Hurtado-SKC
18770,B. Wright-Phillips,New York Red Bulls,FWD,5,24,0.33%,2.54,$82K,1,61,NY,152.0,B. Wright-Phillips-NY,B. Wright-Phillips-RBNY
421350,T. Bair,Vancouver Whitecaps FC,FWD,4.9,17,1.75%,2.53,$114K,2,43,VAN,162.0,T. Bair-VAN,T. Bair-VAN
110954,M. El-Munir,Los Angeles Football Club,DEF,4.2,15,0.18%,2.53,$111K,DNP,38,LAFC,295.0,M. El-Munir-LAFC,M. El-Munir-LAFC
